PlotID,Plot Code,Plot Name,Country,PI,Census Mean Date,Census No,PlotViewID,Plot View Name,Standardised SubPlot T1,TreeID,FamilyAPGID,Family,GenusID,Genus,SpeciesID,Species,Authority,Voucher Code,Tag Number,DBH1,DBH2,DBH3,DBH4,POM,F1,F2,F3,F4,Comments,Standardised X,Standardised Y
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54832,377,Sapotaceae,24801,Pouteria,653110,Pouteria indet,,,2,105,105,105,105,1300,a,1,5,0,,,
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54833,364,Moraceae,16541,Clarisia,121206,Clarisia biflora,Ruiz Lopez & Pavon,,3,146,146,146,146,1300,a,1,5,0,,,
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54837,415,Euphorbiaceae,10644,Glycydendron,265610,Glycydendron amazonicum,Ducke,,7,117,117,117,117,1300,a,1,5,0,,,
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54838,358,Nyctaginaceae,17020,Neea,427172,Neea macrophylla,Poeppig & Endl.,,8,124,124,124,124,1300,a,1,5,0,,,
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54843,364,Moraceae,16575,Maquira,393004,Maquira calophylla,(Poeppig & Endl.) C.C. Berg,,12,168,168,168,168,0,a,1,5,0,,,
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54846,409,Sapindaceae,24621,Talisia,652930,Talisia indet,,,15,235,235,235,235,1300,a,1,5,0,,,
90,TAM-04,Tambopata plot two swamp edge clay,PERU,Oliver Phillips,1983.67,1,90,Main Plot View,,54847,377,Sapotaceae,24801,Pouteria,501703,Pouteria trilocularis,Cronq.,AMM5848,16,140,140,140,140,1300,a,1,5,0,,,
